Time,Lane,Delay_s,Queue_m,Saturation
960.0,156084447#2.35_1,300.0,185.5,2.4
960.0,156084447#2.35_2,27.79,0.0,0.0
960.0,156084447#2.35_2,30.0,0.0,0.0
960.0,156084447#2.35_2,30.0,0.0,0.0
960.0,537517150#2_0,300.0,644.7,6.0
960.0,537517150#2_1,300.0,516.6,4.0
960.0,537517150#2_2,300.0,144.2,2.4
960.0,537517150#2_2,300.0,144.2,0.0
960.0,156084437#2.76_0,300.0,191.45,3.6
960.0,156084437#2.76_0,300.0,191.45,0.0
960.0,156084437#2.76_1,300.0,195.65,16.8
960.0,156084437#2.76_2,300.0,38.85,7.2
960.0,156084437#2.76_2,300.0,38.85,0.0
960.0,-156084515#1.105_0,43.66,15.75,0.9
960.0,-156084515#1.105_0,300.0,15.75,0.0
960.0,-156084515#1.105_0,300.0,15.75,0.0
960.0,-156084515#1.105_0,300.0,15.75,0.0
1020.0,156084447#2.35_0,300.0,254.45,3.3
1020.0,156084447#2.35_0,300.0,254.45,0.0
1020.0,156084447#2.35_1,300.0,248.5,270000.0
1020.0,156084447#2.35_2,300.0,42.0,180000.0
1020.0,156084447#2.35_2,300.0,42.0,0.0
1020.0,156084447#2.35_2,300.0,42.0,0.0
1020.0,537517150#2_0,300.0,679.7,4.8
1020.0,537517150#2_1,300.0,516.6,1.8
1020.0,537517150#2_2,300.0,116.2,0.6
1020.0,537517150#2_2,300.0,116.2,0.0
1020.0,156084437#2.76_0,300.0,184.45,1.5
1020.0,156084437#2.76_0,300.0,184.45,0.0
1020.0,156084437#2.76_1,300.0,223.65,120000.0
1020.0,156084437#2.76_2,300.0,52.85,60000.0
1020.0,156084437#2.76_2,300.0,52.85,0.0
1020.0,-156084515#1.105_0,153.14,78.75,3.15
1020.0,-156084515#1.105_0,300.0,78.75,0.0
1020.0,-156084515#1.105_0,300.0,78.75,0.0
1020.0,-156084515#1.105_0,300.0,78.75,0.0
1080.0,156084447#2.35_0,300.0,240.45,1.2
1080.0,156084447#2.35_0,300.0,240.45,0.0
1080.0,156084447#2.35_1,300.0,269.5,90000.0
1080.0,156084447#2.35_2,300.0,63.0,90000.0
1080.0,156084447#2.35_2,300.0,63.0,0.0
1080.0,156084447#2.35_2,300.0,63.0,0.0
1080.0,537517150#2_0,300.0,742.7,7.2
1080.0,537517150#2_1,300.0,565.6,6.0
1080.0,537517150#2_2,290.41,102.2,1.2
1080.0,537517150#2_2,300.0,102.2,0.0
1080.0,156084437#2.76_0,300.0,191.45,2.1
1080.0,156084437#2.76_0,300.0,191.45,0.0
1080.0,156084437#2.76_1,300.0,251.65,120000.0
1080.0,156084437#2.76_2,300.0,73.85,90000.0
1080.0,156084437#2.76_2,300.0,73.85,0.0
1080.0,-156084515#1.105_0,152.35,92.75,2.1
1080.0,-156084515#1.105_0,300.0,92.75,0.0
1080.0,-156084515#1.105_0,300.0,92.75,0.0
1080.0,-156084515#1.105_0,300.0,92.75,0.0
1140.0,156084447#2.35_0,300.0,275.45,3.3
1140.0,156084447#2.35_0,300.0,275.45,0.0
1140.0,156084447#2.35_1,300.0,325.5,240000.0
1140.0,156084447#2.35_2,300.0,91.0,120000.0
1140.0,156084447#2.35_2,300.0,91.0,0.0
1140.0,156084447#2.35_2,300.0,91.0,0.0
1140.0,537517150#2_0,300.0,756.7,3.0
1140.0,537517150#2_1,300.0,558.6,1.2
1140.0,537517150#2_2,216.65,74.2,0.6
1140.0,537517150#2_2,300.0,74.2,0.0
1140.0,156084437#2.76_0,300.0,198.45,2.1
1140.0,156084437#2.76_0,300.0,198.45,0.0
1140.0,156084437#2.76_1,300.0,286.65,150000.0
1140.0,156084437#2.76_2,300.0,87.85,60000.0
1140.0,156084437#2.76_2,300.0,87.85,0.0
1140.0,-156084515#1.105_0,128.68,78.75,1.5
1140.0,-156084515#1.105_0,300.0,78.75,0.0
1140.0,-156084515#1.105_0,300.0,78.75,0.0
1140.0,-156084515#1.105_0,300.0,78.75,0.0
1200.0,156084447#2.35_0,300.0,289.45,2.4
1200.0,156084447#2.35_0,300.0,289.45,0.0
1200.0,156084447#2.35_1,300.0,343.7,13.5
1200.0,156084447#2.35_2,300.0,82.6,0.0
1200.0,156084447#2.35_2,300.0,82.6,0.0
1200.0,156084447#2.35_2,300.0,82.6,0.0
1200.0,537517150#2_0,300.0,784.7,4.2
1200.0,537517150#2_1,300.0,568.4,2.77
1200.0,537517150#2_2,201.96,58.8,1.04
1200.0,537517150#2_2,300.0,58.8,0.0
1200.0,156084437#2.76_0,300.0,205.45,2.1
1200.0,156084437#2.76_0,300.0,205.45,0.0
1200.0,156084437#2.76_1,300.0,311.85,18.0
1200.0,156084437#2.76_2,300.0,103.25,6.75
1200.0,156084437#2.76_2,300.0,103.25,0.0
1200.0,-156084515#1.105_0,100.55,57.75,1.35
1200.0,-156084515#1.105_0,300.0,57.75,0.0
1200.0,-156084515#1.105_0,300.0,57.75,0.0
1200.0,-156084515#1.105_0,300.0,57.75,0.0
1260.0,156084447#2.35_0,300.0,296.45,2.1
1260.0,156084447#2.35_0,300.0,296.45,0.0
1260.0,156084447#2.35_1,300.0,371.7,4.2
1260.0,156084447#2.35_2,171.29,82.6,1.8
1260.0,156084447#2.35_2,300.0,82.6,0.0
1260.0,156084447#2.35_2,300.0,82.6,0.0
1260.0,537517150#2_0,300.0,861.7,8.4
1260.0,537517150#2_1,300.0,638.4,300000.0
1260.0,537517150#2_2,300.0,86.8,120000.0
1260.0,537517150#2_2,300.0,86.8,0.0
1260.0,156084437#2.76_0,300.0,184.45,0.9
1260.0,156084437#2.76_0,300.0,184.45,0.0
1260.0,156084437#2.76_1,300.0,304.85,1.2
1260.0,156084437#2.76_2,219.35,75.25,0.6
1260.0,156084437#2.76_2,300.0,75.25,0.0
1260.0,-156084515#1.105_0,73.55,36.75,1.35
1260.0,-156084515#1.105_0,300.0,36.75,0.0
1260.0,-156084515#1.105_0,300.0,36.75,0.0
1260.0,-156084515#1.105_0,300.0,36.75,0.0
1320.0,156084447#2.35_0,300.0,317.45,2.7
1320.0,156084447#2.35_0,300.0,317.45,0.0
1320.0,156084447#2.35_1,300.0,385.7,3.0
