controller,tls_id,lane_id,cycle_index,cycle_length_seconds,queue_length_meters,control_delay_seconds,degree_of_saturation,q_h_pcu_per_hour,lane_green_ratio,lane_green_seconds,mixed_saturation_flow_pcu_per_hour,outflow_pcu_per_cycle,inflow_pcu_per_cycle,observed_avg_wait_seconds
fixed_time_quang,J0,537517150#5_2,2,96.0,2.84375,15.264084507042254,0.24,225.0,0.46875,45.0,2000.0,6.0,7.5,9.40625
fixed_time_quang,J0,156084437#5_0,2,96.0,5.822916666666667,5.647058823529422e-05,0.15015015015015015,300.0,0.999,96.0,2000.0,8.0,5.5,33.447916666666664
fixed_time_quang,J0,156084437#5_1,2,96.0,9.885416666666666,14.948275862068966,0.2,187.5,0.46875,45.0,2000.0,5.0,4.0,54.802083333333336
fixed_time_quang,J0,156084437#5_2,2,96.0,18.552083333333332,13.805732484076433,0.04,37.5,0.46875,45.0,2000.0,1.0,0.5,130.13541666666666
fixed_time_quang,J0,-156084515#1.87_0,2,96.0,43.130208333333336,8.170212765957461e-05,0.41291291291291293,825.0,0.999,96.0,2000.0,22.0,10.5,121.71875
fixed_time_quang,cluster5599998268_5599998291_7928757444_9323588912,1352445161#8.75_0,2,96.0,9.072916666666666,7.680000000000015e-05,0.37537537537537535,750.0,0.999,96.0,2000.0,20.0,19.5,14.9375
fixed_time_quang,cluster5599998268_5599998291_7928757444_9323588912,1352445161#8.75_1,2,96.0,4.807291666666667,18.847826086956523,0.6,562.5,0.46875,45.0,2000.0,15.0,14.5,9.177083333333334
fixed_time_quang,cluster5599998268_5599998291_7928757444_9323588912,1352445161#8.75_2,2,96.0,2.0989583333333335,17.47983870967742,0.48,450.0,0.46875,45.0,2000.0,12.0,12.5,3.6041666666666665
fixed_time_quang,cluster5599998268_5599998291_7928757444_9323588912,1352445161#8.75_3,2,96.0,28.166666666666664,15.9375,0.32,300.0,0.46875,45.0,2000.0,8.0,11.0,72.60416666666667
fixed_time_quang,cluster5599998268_5599998291_7928757444_9323588912,477913073#10_0,2,96.0,5.755208333333333,7.917525773195892e-05,0.39414414414414417,787.5,0.999,96.0,2000.0,21.0,23.0,11.875
fixed_time_quang,cluster5599998268_5599998291_7928757444_9323588912,477913073#10_1,2,96.0,3.994791666666667,17.06692913385827,0.44,412.5,0.46875,45.0,2000.0,11.0,13.0,8.53125
fixed_time_quang,cluster5599998268_5599998291_7928757444_9323588912,477913073#10_2,2,96.0,9.614583333333334,16.673076923076923,0.4,375.0,0.46875,45.0,2000.0,10.0,9.5,18.71875
fixed_time_quang,cluster5599998268_5599998291_7928757444_9323588912,1010526553#5_0,2,96.0,2.640625,6.193548387096785e-05,0.22522522522522523,450.0,0.999,96.0,2000.0,12.0,13.5,4.15625
fixed_time_quang,cluster5599998268_5599998291_7928757444_9323588912,1010526553#5_1,2,96.0,5.890625,17.91322314049587,0.52,487.5,0.46875,45.0,2000.0,13.0,11.0,15.84375
fixed_time_quang,cluster5599998268_5599998291_7928757444_9323588912,1010526553#5_2,2,96.0,3.65625,15.593525179856115,0.28,262.5,0.46875,45.0,2000.0,7.0,10.0,8.760416666666666
fixed_time_quang,cluster5599998268_5599998291_7928757444_9323588912,833772151#2_0,2,96.0,2.3697916666666665,5.907692307692319e-05,0.18768768768768768,375.0,0.999,96.0,2000.0,10.0,12.0,5.458333333333333
fixed_time_quang,cluster5599998268_5599998291_7928757444_9323588912,833772151#2_1,2,96.0,0.8802083333333333,14.948275862068966,0.2,187.5,0.46875,45.0,2000.0,5.0,4.0,0.71875
fixed_time_quang,cluster5599998268_5599998291_7928757444_9323588912,833772151#2_2,2,96.0,3.046875,14.948275862068966,0.2,187.5,0.46875,45.0,2000.0,5.0,5.5,10.15625
fixed_time_quang,J0,156084447#6_0,3,96.0,10.833333333333334,7.456310679611664e-05,0.3566066066066066,712.5,0.999,96.0,2000.0,19.0,16.0,51.6875
fixed_time_quang,J0,156084447#6_1,3,96.0,11.984375,18.36864406779661,0.56,525.0,0.46875,45.0,2000.0,14.0,8.0,38.03125
fixed_time_quang,J0,156084447#6_2,3,96.0,22.546875,17.47983870967742,0.48,450.0,0.46875,45.0,2000.0,12.0,9.0,65.01041666666667
fixed_time_quang,J0,537517150#5_0,3,96.0,7.109375,7.680000000000015e-05,0.37537537537537535,750.0,0.999,96.0,2000.0,20.0,22.5,19.364583333333332
fixed_time_quang,J0,537517150#5_1,3,96.0,1.7604166666666665,13.805732484076433,0.04,37.5,0.46875,45.0,2000.0,1.0,0.5,2.7395833333333335
fixed_time_quang,J0,537517150#5_2,3,96.0,3.25,14.35430463576159,0.12,112.5,0.46875,45.0,2000.0,3.0,3.5,6.916666666666667
fixed_time_quang,J0,156084437#5_0,3,96.0,12.59375,6.347107438016541e-05,0.243993993993994,487.5,0.999,96.0,2000.0,13.0,20.5,48.40625
fixed_time_quang,J0,156084437#5_1,3,96.0,10.5625,14.35430463576159,0.12,112.5,0.46875,45.0,2000.0,3.0,4.5,37.96875
fixed_time_quang,J0,156084437#5_2,3,96.0,15.03125,14.948275862068966,0.2,187.5,0.46875,45.0,2000.0,5.0,4.5,52.395833333333336
fixed_time_quang,J0,-156084515#1.87_0,3,96.0,5.755208333333333,6.047244094488201e-05,0.20645645645645647,412.5,0.999,96.0,2000.0,11.0,14.0,8.96875
fixed_time_quang,cluster5599998268_5599998291_7928757444_9323588912,1352445161#8.75_0,3,96.0,4.739583333333333,6.85714285714287e-05,0.3003003003003003,600.0,0.999,96.0,2000.0,16.0,18.5,5.197916666666667
