Episode,Reward,Critic_Loss,Time_Sec,CPU_Percent,RAM_Percent,GPU_VRAM_MB
74,-74.9393744468689,3.5629496574401855,16.3,99.6,65.8,0.0
75,-87.62156343460083,1.2756667137145996,17.0,96.0,65.7,0.0
76,-74.5641006231308,1.2880117893218994,13.24,98.0,65.8,0.0
77,-72.6980049610138,1.0178464651107788,13.63,99.6,65.7,0.0
78,-87.52005743980408,0.9458258152008057,15.88,98.1,65.8,0.0
79,-83.0089441537857,1.3780525922775269,15.46,97.7,65.8,0.0
80,-66.70162880420685,1.332156777381897,14.92,98.6,65.8,0.0
81,-76.26421523094177,2.8629488945007324,10.97,99.6,65.8,0.0
82,-85.49097907543182,1.8676954507827759,13.19,99.3,65.7,0.0
83,-84.94254851341248,2.710129499435425,11.5,98.8,65.7,0.0
84,-86.69391167163849,1.5271408557891846,13.57,99.0,65.7,0.0
85,-72.26872569322586,0.778279721736908,11.98,97.5,65.8,0.0
86,-81.44580346345901,2.648421049118042,14.7,98.0,65.8,0.0
87,-81.66514027118683,1.7807204723358154,11.86,99.3,65.8,0.0
88,-106.72256779670715,1.7453056573867798,16.53,98.8,65.9,0.0
