Ep 171 | Reward:     79.5 | CriticLoss:   4.1559 | ActorLoss:  -0.0206
Ep 172 | Reward:    -26.5 | CriticLoss:  12.1937 | ActorLoss:  -0.0171
Ep 173 | Reward:     80.9 | CriticLoss:   4.6231 | ActorLoss:  -0.0201
Ep 174 | Reward:     38.5 | CriticLoss:   1.5176 | ActorLoss:  -0.0182
Ep 175 | Reward:     -7.2 | CriticLoss:   4.6469 | ActorLoss:  -0.0166
Ep 176 | Reward:     28.4 | CriticLoss:   1.6777 | ActorLoss:  -0.0178
Ep 177 | Reward:     50.6 | CriticLoss:   2.4678 | ActorLoss:  -0.0187
Ep 178 | Reward:     75.2 | CriticLoss:   7.7197 | ActorLoss:  -0.0199
Ep 179 | Reward:     90.4 | CriticLoss:   5.4311 | ActorLoss:  -0.0195
Ep 180 | Reward:     67.7 | CriticLoss:   4.8127 | ActorLoss:  -0.0197
Ep 181 | Reward:     -7.4 | CriticLoss:   9.2455 | ActorLoss:  -0.0165
Ep 182 | Reward:     77.3 | CriticLoss:   5.3942 | ActorLoss:  -0.0199
Ep 183 | Reward:     32.4 | CriticLoss:   2.7150 | ActorLoss:  -0.0182
Ep 184 | Reward:     68.7 | CriticLoss:   6.6183 | ActorLoss:  -0.0202
Ep 185 | Reward:     78.6 | CriticLoss:   4.8740 | ActorLoss:  -0.0222
Ep 186 | Reward:     50.9 | CriticLoss:  10.3449 | ActorLoss:  -0.0214
Ep 187 | Reward:     44.6 | CriticLoss:   3.7791 | ActorLoss:  -0.0208
Ep 188 | Reward:     55.6 | CriticLoss:   8.4029 | ActorLoss:  -0.0206
Ep 189 | Reward:     29.7 | CriticLoss:   2.7913 | ActorLoss:  -0.0196
Ep 190 | Reward:     88.6 | CriticLoss:   5.0164 | ActorLoss:  -0.0194
Ep 191 | Reward:     74.5 | CriticLoss:  11.3127 | ActorLoss:  -0.0232
Ep 192 | Reward:     79.4 | CriticLoss:   3.2782 | ActorLoss:  -0.0229
Ep 193 | Reward:     43.5 | CriticLoss:   4.2267 | ActorLoss:  -0.0187
Ep 194 | Reward:     84.2 | CriticLoss:   8.5155 | ActorLoss:  -0.0222
Ep 195 | Reward:    -12.3 | CriticLoss:   8.7491 | ActorLoss:  -0.0182
Ep 196 | Reward:     76.9 | CriticLoss:  10.7686 | ActorLoss:  -0.0233
Ep 197 | Reward:     55.5 | CriticLoss:   2.1270 | ActorLoss:  -0.0210
Ep 198 | Reward:     65.7 | CriticLoss:   2.6377 | ActorLoss:  -0.0211
Ep 199 | Reward:      1.5 | CriticLoss:   4.3928 | ActorLoss:  -0.0174
Ep 200 | Reward:     40.6 | CriticLoss:   3.0407 | ActorLoss:  -0.0190
Ep 201 | Reward:     89.2 | CriticLoss:   5.6902 | ActorLoss:  -0.0266
Ep 202 | Reward:     39.9 | CriticLoss:   3.0964 | ActorLoss:  -0.0198
Ep 203 | Reward:     40.1 | CriticLoss:   2.8002 | ActorLoss:  -0.0205
Ep 204 | Reward:     45.2 | CriticLoss:  15.3121 | ActorLoss:  -0.0199
Ep 205 | Reward:     50.7 | CriticLoss:   2.2023 | ActorLoss:  -0.0214
